element,id,geometry,internet_access,name,name:mr,network,operator,public_transport,railway,ref,train,wikidata,wikipedia,amenity,addr:city,addr:district,addr:postcode,addr:street,brand,building,fuel:air,fuel:cng,fuel:diesel,fuel:petrol,self_service,name:azb,name:be,name:de,name:el,name:en,name:es,name:hi,name:ks,name:sr,name:uk,name:ur,name:fa,cuisine,branch,brand:wikidata,brand:wikipedia,addr:full,addr:state,healthcare,source,email,operator:type,website,healthcare:speciality,opening_hours,addr:housenumber,brand:ur,short_name,short_name:ur,covered,addr:subdistrict,description,network:wikidata,station,subway,bicycle,wheelchair,bus,air_conditioning,atm,drive_through,addr:floor,check_date,level,diet:vegetarian,grades,delivery,diet:non-vegetarian,smoking,toilets,fuel:h70,phone,fuel:octane_91,fuel:octane_95,emergency,official_name,layer,opening_hours:covid19,building:levels,wikimedia_commons,addr:neighbourhood,bar,landuse,name:etymology:wikidata,type
node,11059328195,POINT (73.790488 18.6366048),,Satav pathology Laboratory,,,Dr. Satav,,,,,,,hospital,pune,Pune,411019,"Chinchwad Station Rd, near Dr Pharande Dental Hospital, opposite Lokmanya Care Hospital, Renuka Sai Society, Sudarshan Nagar, Chinchwad",,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,private,,pathology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11507930596,POINT (73.8232478 18.5874256),,MedPlus,,,,,,,,,,pharmacy,Pune,Pune,411061,"Sharan Residency, 60 feet Road",MedPlus,,,,,,,,,,,,,,,,,,,,,Q65684234,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11508303986,POINT (73.8240955 18.5910222),,Hotel Maifil,,,,,,,,,,restaurant,Pune,Pune,411061,"60 Feet Road, Pimple Gurav",,,,,,,,,,,,,,,,,,,,indian;regional,,,,,,,,,,,,Mo-Su 09:00-21:00,,,,,,,,,,,,,,,,,,,,yes,,yes,yes,isolated,yes,,,,,,,,,,,,,,,
node,11508412198,POINT (73.8300615 18.5823641),,Pizza Hut,,,,,,,,,,restaurant,Pune,Pune,411012,"Dapodi Pimple Gurav Road, Dapodi",Pizza Hut,,,,,,,,,,,,,,,,,,,pizza,,Q191615,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,yes,,yes,yes,,,,,,,,,,,,,,,,,
node,11508426625,POINT (73.8303185 18.5823072),,Bank of Maharashtra Dapodi,,,Government of India,,,,,,,bank,Pune,Pune,411012,"Dapodi Pimple Gurav Road, Dapodi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Fr 10:00-15:30,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
node,11709999510,POINT (73.7938971 18.5939592),,Rangla Punjab,रंगला पंजाब,,,,,,,,,restaurant,,,,,,,,,,,,,,,,Rangla Punjab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-07,,,,,,,,,,,,,,,,,,,,,,
node,11709999513,POINT (73.7938771 18.5938143),,Healthcare,हेल्थकेअर,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,Healthcare,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,2024-03-07,,,,,,,,,,,,,,,,,,,,,,
node,11729850453,POINT (73.8068621 18.5829125),,Construction Site,,,ABC,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,private,,general,,,,,,,,Residential Building construction site.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11832697270,POINT (73.7989619 18.6115043),,Indian Oil,,,,,,,,,,fuel,,,,,Indian Oil,,,,,,,,,,,,,,,,,,,,,Q1289348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11930183768,POINT (73.7977157 18.5987992),,Champaran Handi Junction,,,,,,,,,,restaurant,,,,"Shirke Patil Plaza, Shiva Sai Lane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
